offerId,name,before,now,cardStatus,需补图,需补视频,需补属性,平台问题,剩余建议
jz-43c4a1-3989854024,,24,63,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,MAIN(+1); ADDITIONAL(+5); FILTERABLE(+8); PICTURE_COUNT(+7); FIRST_PICTURE_SIZE(+7); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
jz-74no4j-4373210704,,25,62,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,MAIN(+5); ADDITIONAL(+5); FILTERABLE(+4); FIRST_PICTURE_SIZE(+15); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
jz-2608156czu-5434366857,,26,69,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,MAIN(+1); ADDITIONAL(+5); FILTERABLE(+6); PICTURE_COUNT(+7); FIRST_PICTURE_SIZE(+4); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
jz-74no4j-4209730086,,26,66,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,ADDITIONAL(+5); FILTERABLE(+4); PICTURE_COUNT(+1); FIRST_PICTURE_SIZE(+15); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
jz-2nf96y-3985003257,,28,46,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,ADDITIONAL(+5); FILTERABLE(+2); PICTURE_COUNT(+5); FIRST_PICTURE_SIZE(+22); TITLE_LENGTH(+11); AVERAGE_PICTURE_SIZE(+2); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
GYS-fq6f2z-4615699926,,31,31,HAS_CARD_CAN_UPDATE_PROCESSING,Y,Y,Y,Y,MAIN(+9); ADDITIONAL(+5); FILTERABLE(+6); PICTURE_COUNT(+1); FIRST_PICTURE_SIZE(+9); TITLE_LENGTH(+10); DESCRIPTION_LENGTH(+20); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
jz-260803cn42-5219380044,,31,69,HAS_CARD_CAN_UPDATE_ERRORS,Y,Y,Y,Y,ADDITIONAL(+5); FILTERABLE(+5); PICTURE_COUNT(+7); FIRST_PICTURE_SIZE(+5); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
jz-bl4yse-4510686580,,31,56,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,MAIN(+12); ADDITIONAL(+4); FIRST_PICTURE_SIZE(+9); TITLE_LENGTH(+10); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
LZ-5wxmmp-5131474742,,31,69,HAS_CARD_CAN_UPDATE,Y,Y,Y,Y,MAIN(+9); ADDITIONAL(+5); FILTERABLE(+1); PICTURE_COUNT(+3); FIRST_PICTURE_SIZE(+5); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
GYS-fq6f2z-4615873227,,32,32,HAS_CARD_CAN_UPDATE_PROCESSING,Y,Y,Y,Y,MAIN(+12); ADDITIONAL(+3); FILTERABLE(+6); PICTURE_COUNT(+3); FIRST_PICTURE_SIZE(+5); TITLE_LENGTH(+10); DESCRIPTION_LENGTH(+20); AVERAGE_PICTURE_SIZE(+1); FIRST_VIDEO_SIZE(+2); FIRST_VIDEO_LENGTH(+2); AVERAGE_VIDEO_SIZE(+2); VIDEO_COUNT(+2)
